Wall time,Step,Value
1687886860.915038,0,0.5912879109382629
1687886902.958014,1,0.7145223021507263
1687886944.38274,2,0.7504662275314331
1687886984.028255,3,0.7678821086883545
1687887015.407715,4,0.7784284353256226
1687887047.377024,5,0.7944372892379761
1687887088.30064,6,0.8198112845420837
1687887121.086262,7,0.8512824773788452
1687887152.999834,8,0.8703899383544922
1687887185.035418,9,0.8869357705116272
1687887216.790915,10,0.8995983600616455
1687887251.427718,11,0.9096717834472656
1687887283.312571,12,0.9396365284919739
1687887314.762956,13,0.9602060317993164
1687887347.40038,14,0.9726721048355103
1687887379.058088,15,0.9780269861221313
1687887411.375197,16,0.9818181991577148
1687887442.850621,17,0.9876895546913147
1687887475.322171,18,0.9879405498504639
1687887507.198135,19,0.9899998903274536
1687887539.338777,20,0.993930995464325
1687887574.710585,21,0.9927884936332703
1687887606.302423,22,0.9932488203048706
1687887638.620548,23,0.9972222447395325
1687887671.114321,24,0.992285966873169
1687887703.812702,25,0.9981203675270081
1687887736.625542,26,0.9972299337387085
1687887769.588559,27,0.9956896901130676
1687887803.314373,28,0.9952918291091919
1687887838.795103,29,0.9967591762542725
1687887873.702022,30,0.9972678422927856
1687887911.975604,31,0.9990512728691101
1687887946.24395,32,0.9976657629013062
1687887979.642637,33,0.9957414269447327
1687888012.543209,34,0.9958961606025696
1687888046.915245,35,0.9985687136650085
1687888087.160453,36,0.9985902309417725
1687888120.940931,37,0.9986111521720886
1687888163.436751,38,0.9986313581466675
1687889403.204981,39,0.9980815052986145
1687889443.686108,40,0.9990543127059937
1687889484.509033,41,0.9986013770103455
1687889524.980111,42,0.9990804195404053
1687889558.976596,43,0.9990929961204529
1687889593.805656,44,0.998534619808197
1687889629.38581,45,0.9995269775390625
1687889664.350832,46,0.9985994696617126
1687889701.608988,47,1.0
1687889736.743741,48,1.0
1687889773.20708,49,0.9982030987739563
1687889808.044631,50,0.9975900650024414
1687889847.404441,51,0.9981006383895874
1687889883.38036,52,0.9974244832992554
1687889921.097296,53,0.9986097812652588
1687889957.606549,54,0.9981685280799866
1687889994.898365,55,0.9970707297325134
1687890031.870816,56,0.9991055130958557
1687890068.833564,57,0.9976053237915039
1687890288.48802,58,0.998106062412262
1687890331.059784,59,0.998127281665802
1687890370.190397,60,1.0
1687890408.320044,61,0.9995420575141907
1687890438.103603,62,0.9990941882133484
1687890467.492262,63,1.0
1687890498.268782,64,0.9982269406318665
1687890527.248352,65,1.0
1687890556.797426,66,0.9985796213150024
1687890587.886766,67,0.999057948589325
1687890619.46834,68,0.9988235235214233
1687890648.957906,69,0.9995384812355042
1687890677.388982,70,0.9985101222991943
1687890707.51964,71,0.9990953803062439
1687890736.798162,72,0.9995521306991577
1687890765.503362,73,0.9991130828857422
1687890795.017561,74,0.9995607733726501
1687890824.02018,75,1.0
1687890853.814192,76,0.9989673495292664
1687890883.815275,77,0.9990609884262085
1687890913.770599,78,0.9990698099136353
1687890942.474836,79,0.9976959228515625
1687890971.512191,80,0.9990867376327515
1687891002.78842,81,1.0
1687891031.704688,82,0.9995515942573547
1687891061.530457,83,0.9966014623641968
1687891090.579636,84,0.9995574951171875
1687891120.920258,85,0.9995614290237427
1687891150.834773,86,0.9986956715583801
1687891181.677263,87,0.9990420937538147
1687891212.708282,88,0.9990503787994385
1687891241.970466,89,1.0
1687891272.185301,90,1.0
1687891303.350533,91,0.9981482028961182
1687891333.795444,92,0.9986225962638855
1687891363.304799,93,0.9982073903083801
1687891393.81269,94,1.0
1687891423.407086,95,0.9995520114898682
1687891453.47988,96,0.9995555877685547
1687891483.274957,97,0.9991181492805481
1687891513.287997,98,1.0
1687891543.80157,99,0.9958622455596924
