Wall time,Step,Value
1687691986.193615,0,0.08550435304641724
1687692018.819083,1,0.1448986977338791
1687692046.550163,2,0.21126732230186462
1687692073.831731,3,0.21585114300251007
1687692101.469604,4,0.2524264454841614
1687692128.37865,5,0.2597622871398926
1687692155.445566,6,0.2641322910785675
1687692182.725336,7,0.28661200404167175
1687692209.360697,8,0.28217417001724243
1687692235.893282,9,0.27896997332572937
1687692262.990541,10,0.2998856008052826
1687692293.739457,11,0.3033168911933899
1687692319.773238,12,0.2994525730609894
1687692346.599157,13,0.30355653166770935
1687692372.839446,14,0.3022589087486267
1687692399.091272,15,0.31629353761672974
1687692425.918641,16,0.3063886761665344
1687692452.053802,17,0.31159913539886475
1687692478.032538,18,0.321065217256546
1687692504.519451,19,0.3188302516937256
1687692530.411493,20,0.33760932087898254
1687692560.202078,21,0.3330501616001129
1687692586.084218,22,0.3275154232978821
1687692611.516676,23,0.32416608929634094
1687692637.430019,24,0.3302284777164459
1687692662.807308,25,0.33476513624191284
1687692688.229755,26,0.3400305211544037
1687692714.239531,27,0.3440539836883545
1687692739.608391,28,0.34285837411880493
1687692764.951907,29,0.34987449645996094
1687692791.268446,30,0.36154183745384216
1687692820.320191,31,0.35199636220932007
1687692845.556115,32,0.35831478238105774
1687692871.583372,33,0.362469881772995
1687692896.611917,34,0.3774002492427826
1687692921.574713,35,0.3733500838279724
1687692948.050794,36,0.37942326068878174
1687692973.125426,37,0.37973612546920776
1687692998.755928,38,0.38203468918800354
1687693025.114754,39,0.38697654008865356
1687693050.272077,40,0.3900444209575653
1687693079.130253,41,0.39402955770492554
1687693104.004117,42,0.3925558626651764
1687693128.776411,43,0.40554365515708923
1687693153.606551,44,0.4087469279766083
1687693178.330474,45,0.39659804105758667
1687693203.041595,46,0.4145725667476654
1687693227.792383,47,0.41725048422813416
1687693252.691393,48,0.42093467712402344
1687693277.520292,49,0.4322936236858368
1687693302.14651,50,0.42034703493118286
1687693330.569,51,0.41106054186820984
1687693355.376706,52,0.4395812451839447
1687693380.223616,53,0.4323074221611023
1687693405.919455,54,0.4336811304092407
1687693430.585012,55,0.43835321068763733
1687693455.37609,56,0.46082618832588196
1687693480.025083,57,0.4388951361179352
1687693504.899091,58,0.4453664720058441
1687693529.624222,59,0.4497026205062866
1687693554.782012,60,0.4547163248062134
1687693583.320786,61,0.4552740752696991
1687693608.456177,62,0.46727100014686584
1687693633.136938,63,0.4595995247364044
1687693657.927097,64,0.46715402603149414
1687693682.44873,65,0.45003053545951843
1687693707.299421,66,0.4819367527961731
1687693731.842646,67,0.4650666117668152
1687693756.430915,68,0.4607502818107605
1687693781.072773,69,0.4723888337612152
1687693805.751619,70,0.488540917634964
1687693834.208767,71,0.4813956916332245
1687693858.80187,72,0.48007020354270935
1687693883.235095,73,0.47892940044403076
1687693907.734361,74,0.4750528037548065
1687693932.191901,75,0.46618103981018066
1687693956.875894,76,0.468529611825943
1687693981.299846,77,0.49429622292518616
1687694005.64772,78,0.4863550662994385
1687694030.078104,79,0.49869638681411743
1687694054.404576,80,0.47390055656433105
1687694082.481321,81,0.48999184370040894
1687694106.824926,82,0.4905625879764557
1687694131.285428,83,0.48697274923324585
1687694155.809339,84,0.5042305588722229
1687694180.433167,85,0.502926230430603
1687694204.936793,86,0.482402503490448
1687694231.414363,87,0.48120054602622986
1687694256.534896,88,0.4907721281051636
1687694280.705961,89,0.5087432861328125
1687694306.713706,90,0.5106085538864136
1687694335.246233,91,0.5092591643333435
1687694359.596746,92,0.5160830020904541
1687694384.984929,93,0.5209398865699768
1687694409.787384,94,0.5021428465843201
1687694434.392078,95,0.516373872756958
1687694459.602479,96,0.5111148357391357
1687694483.583005,97,0.5204277634620667
1687694507.971416,98,0.5200691819190979
1687694533.805176,99,0.513386607170105
