Wall time,Step,Value
1687873738.320963,0,0.060916829854249954
1687873752.667077,1,0.0929032564163208
1687873765.853206,2,0.16229596734046936
1687873778.740503,3,0.18695391714572906
1687873791.328126,4,0.2384565770626068
1687873804.163189,5,0.27535414695739746
1687873816.715652,6,0.35107263922691345
1687873829.432936,7,0.38290372490882874
1687873842.142947,8,0.41540810465812683
1687873854.760737,9,0.43820565938949585
1687873867.328625,10,0.4945635199546814
1687873881.399359,11,0.5119195580482483
1687873900.005846,12,0.544133186340332
1687873921.591043,13,0.5607625842094421
1687873943.587,14,0.5699377655982971
1687873965.367352,15,0.5980901122093201
1687873986.975976,16,0.6155480146408081
1687874008.659431,17,0.6384181380271912
1687874030.404478,18,0.652933657169342
1687874052.041803,19,0.6469232439994812
1687874073.838326,20,0.6794019341468811
1687874097.687708,21,0.697500467300415
1687874119.187838,22,0.6939859986305237
1687874140.909059,23,0.7056664228439331
1687874162.382434,24,0.7134213447570801
1687874183.8935,25,0.7320305705070496
1687874202.718271,26,0.7432852983474731
1687874438.853748,27,0.7287388443946838
1687874450.999726,28,0.7513883113861084
1687874463.322619,29,0.7566931843757629
1687874477.70676,30,0.7388967275619507
1687874492.78999,31,0.748424768447876
1687874507.184173,32,0.7521131038665771
1687874522.486835,33,0.7628642320632935
1687874537.86565,34,0.775200366973877
1687874553.980446,35,0.776741623878479
1687874570.133944,36,0.7747595310211182
1687874586.984693,37,0.773702085018158
1687874604.524635,38,0.7757610082626343
1687874618.429974,39,0.7883639931678772
1687874631.41197,40,0.7849982976913452
1687874645.61416,41,0.7934272885322571
1687874658.627379,42,0.8020343780517578
1687874671.570318,43,0.8097411394119263
1687874685.078487,44,0.8091499209403992
1687874698.53799,45,0.8146986365318298
1687874711.712913,46,0.8239320516586304
1687874724.931773,47,0.8020783066749573
1687874738.325447,48,0.8136926889419556
1687874751.803092,49,0.8098105788230896
1687874765.500685,50,0.8204150795936584
1687874779.947812,51,0.8203727006912231
1687874793.420059,52,0.818891167640686
1687874806.880213,53,0.8196436166763306
1687874820.402666,54,0.8246867656707764
1687874834.04526,55,0.82414311170578
1687874847.624044,56,0.8265588283538818
1687874861.219375,57,0.8329424858093262
1687874874.866387,58,0.8307972550392151
1687874888.508816,59,0.8309549689292908
1687874902.619903,60,0.8344350457191467
1687874917.50781,61,0.8360165953636169
1687874931.158141,62,0.8391964435577393
1687874945.02196,63,0.8351890444755554
1687874958.940455,64,0.8239691853523254
1687874972.781551,65,0.8426269888877869
1687874986.411554,66,0.8357164859771729
1687875000.28997,67,0.8413042426109314
1687875014.202499,68,0.8429563641548157
1687875028.267607,69,0.8466241955757141
1687875042.695479,70,0.8475158214569092
1687875057.59134,71,0.8421159982681274
1687875071.505756,72,0.8479082584381104
1687875085.627507,73,0.8411256670951843
1687875099.649964,74,0.848701536655426
1687875113.655007,75,0.8476292490959167
1687875127.951122,76,0.8540837168693542
1687875141.692827,77,0.8511222004890442
1687875154.896585,78,0.8490843772888184
1687875167.933596,79,0.8641084432601929
1687875180.942684,80,0.864382266998291
1687875194.933282,81,0.8507830500602722
1687875207.976979,82,0.8586612939834595
1687875220.957564,83,0.8508589863777161
1687875234.221949,84,0.8603634834289551
1687875247.313849,85,0.8536158800125122
1687875260.567189,86,0.8556294441223145
1687875274.059054,87,0.8575646877288818
1687875287.4333,88,0.8614833950996399
1687875300.733419,89,0.8613226413726807
1687875314.049204,90,0.8658217191696167
1687875328.338495,91,0.8637583255767822
1687875341.666228,92,0.8673827052116394
1687875355.36376,93,0.8640008568763733
1687875368.409743,94,0.8632081747055054
1687875381.790214,95,0.860596239566803
1687875395.290205,96,0.8668715357780457
1687875408.621692,97,0.8738335371017456
1687875422.472359,98,0.8553000092506409
1687875435.841772,99,0.8588550090789795
